Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system1,nl.tudelft.jpacman.board,Board,1,0,6,4,68,9,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\Board.java
pacman-system1,nl.tudelft.jpacman.board,BoardFactory,3,0,10,8,100,13,0,0,0.5,3,3,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Wall,1,0,3,2,23,3,0,1,0.6666666666666666,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Ground,1,0,3,2,23,3,0,1,0.6666666666666666,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\BoardFactory.java
pacman-system1,nl.tudelft.jpacman.board,Square,2,0,9,5,86,11,3,0,0.3333333333333333,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\Square.java
pacman-system1,nl.tudelft.jpacman.board,Unit,2,0,10,8,98,13,4,0,0.2,2,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\board\Unit.java
pacman-system1,nl.tudelft.jpacman.board,BasicSquare,0,0,3,2,18,3,0,1,-1.0,3,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\BasicSquare.java
pacman-system1,nl.tudelft.jpacman.board,BasicUnit,0,0,2,1,15,2,0,1,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\BasicUnit.java
pacman-system1,nl.tudelft.jpacman.board,BoardFactoryTest,3,0,6,0,62,6,0,0,0.0,0,3,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\BoardFactoryTest.java
pacman-system1,nl.tudelft.jpacman.board,BoardTest,4,0,3,0,30,3,0,0,0.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\BoardTest.java
pacman-system1,nl.tudelft.jpacman.board,OccupantTest,1,0,4,0,41,4,0,0,0.0,0,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\OccupantTest.java
pacman-system1,nl.tudelft.jpacman.board,SquareTest,1,0,4,0,43,4,0,0,0.0,0,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\board\SquareTest.java
pacman-system1,nl.tudelft.jpacman.game,Game,2,0,9,8,77,13,1,1,0.2222222222222222,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\game\Game.java
pacman-system1,nl.tudelft.jpacman.game,GameFactory,1,0,3,2,32,3,0,0,0.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\game\GameFactory.java
pacman-system1,nl.tudelft.jpacman.game,SinglePlayerGame,2,0,3,2,32,3,0,2,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\game\SinglePlayerGame.java
pacman-system1,nl.tudelft.jpacman,Launcher,5,1,18,7,143,19,0,0,0.0,4,9,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\Launcher.java
pacman-system1,nl.tudelft.jpacman,PacmanConfigurationException,0,0,2,2,21,2,0,0,-1.0,3,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\PacmanConfigurationException.java
pacman-system1,nl.tudelft.jpacman,LauncherSmokeTest,1,0,4,1,61,5,0,0,0.0,1,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\LauncherSmokeTest.java
pacman-system1,nl.tudelft.jpacman.level,CollisionInteractionMap,2,0,10,5,157,21,0,1,0.2,1,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,CollisionHandler,0,0,1,0,14,1,1,0,-1.0,2,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,InverseCollisionHandler,1,0,2,1,25,2,0,1,0.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,CollisionMap,0,0,1,0,14,1,3,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\CollisionMap.java
pacman-system1,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,1,0,2,1,25,2,0,1,1.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\DefaultPlayerInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,Level,12,0,18,12,275,38,0,0,0.16666666666666666,2,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\Level.java
pacman-system1,nl.tudelft.jpacman.level,NpcMoveTask,2,0,2,1,31,3,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\Level.java
pacman-system1,nl.tudelft.jpacman.level,LevelObserver,0,0,2,0,14,2,1,0,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\Level.java
pacman-system1,nl.tudelft.jpacman.level,LevelFactory,10,0,6,4,95,10,0,0,0.6666666666666666,2,4,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\LevelFactory.java
pacman-system1,nl.tudelft.jpacman.level,RandomGhost,1,0,2,1,20,2,0,2,1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\LevelFactory.java
pacman-system1,nl.tudelft.jpacman.level,MapParser,2,0,10,5,168,26,0,0,0.3,2,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\MapParser.java
pacman-system1,nl.tudelft.jpacman.level,Pellet,2,0,3,3,33,3,0,1,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\Pellet.java
pacman-system1,nl.tudelft.jpacman.level,Player,4,0,6,5,74,9,0,1,0.0,2,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\Player.java
pacman-system1,nl.tudelft.jpacman.level,PlayerCollisions,0,0,6,3,52,13,0,1,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\PlayerCollisions.java
pacman-system1,nl.tudelft.jpacman.level,PlayerFactory,1,0,3,2,31,3,0,0,0.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\level\PlayerFactory.java
pacman-system1,nl.tudelft.jpacman.level,LevelTest,6,0,9,0,105,9,0,0,0.0,0,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\level\LevelTest.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Blinky,2,0,2,2,38,4,0,2,1.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Blinky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Clyde,4,0,2,2,56,5,0,2,1.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Clyde.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,GhostFactory,1,0,5,5,49,5,0,0,0.0,2,4,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\GhostFactory.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Inky,3,0,3,2,52,7,0,2,0.6666666666666666,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Inky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Navigation,3,0,11,4,161,26,0,0,0.18181818181818182,6,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Navigation.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Node,3,0,5,0,59,6,0,0,0.0,2,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Navigation.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Pinky,3,0,2,2,39,4,0,2,1.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\ghost\Pinky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,NavigationTest,1,0,9,0,98,9,0,0,0.0,0,7,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\npc\ghost\NavigationTest.java
pacman-system1,nl.tudelft.jpacman.npc,Ghost,3,0,6,4,69,9,5,1,0.5,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\npc\Ghost.java
pacman-system1,nl.tudelft.jpacman.sprite,AnimatedSprite,7,0,10,8,122,15,0,1,0.2,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\AnimatedSprite.java
pacman-system1,nl.tudelft.jpacman.sprite,EmptySprite,0,0,4,4,17,4,0,1,-1.0,3,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\EmptySprite.java
pacman-system1,nl.tudelft.jpacman.sprite,ImageSprite,1,0,7,5,47,8,0,1,0.0,2,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\ImageSprite.java
pacman-system1,nl.tudelft.jpacman.sprite,PacManSprites,6,0,8,7,102,9,0,1,0.0,2,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\PacManSprites.java
pacman-system1,nl.tudelft.jpacman.sprite,Sprite,0,0,4,0,34,4,3,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\Sprite.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteStore,1,0,4,3,63,7,1,0,0.5,1,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\sprite\SpriteStore.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,3,0,9,9,71,9,0,0,0.0,0,2,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\sprite\SpriteTest.java
pacman-system1,nl.tudelft.jpacman.ui,Action,0,0,1,0,10,1,0,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\Action.java
pacman-system1,nl.tudelft.jpacman.ui,BoardPanel,4,0,4,1,76,7,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\BoardPanel.java
pacman-system1,nl.tudelft.jpacman.ui,ButtonPanel,1,0,1,0,29,2,0,0,0.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ButtonPanel.java
pacman-system1,nl.tudelft.jpacman.ui,PacKeyListener,1,0,4,3,29,5,0,0,0.75,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacKeyListener.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUI,4,0,3,2,65,4,0,0,0.6666666666666666,1,4,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacManUI.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUiBuilder,6,0,8,6,111,9,0,0,0.0,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\PacManUiBuilder.java
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,4,1,4,2,73,8,0,0,0.5,1,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ScorePanel.java
pacman-system1,nl.tudelft.jpacman.ui,ScoreFormatter,0,0,1,0,11,1,0,0,-1.0,1,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\main\java\nl\tudelft\jpacman\ui\ScorePanel.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupSteps,1,0,5,4,35,5,0,0,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\e2e\framework\startup\StartupSteps.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupTest,0,0,0,0,6,0,0,0,-1.0,0,0,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\e2e\framework\startup\StartupTest.java
pacman-system1,nl.tudelft.jpacman.integration,StartupSystemTest,1,0,4,3,29,4,0,0,0.0,0,1,D:\Documents\Cours\MA2\software evolubite\projet\G3-SoftwareEvolution\scripts\..\..\pacman-system1\src\test\java\nl\tudelft\jpacman\integration\StartupSystemTest.java
